"No.","Time","Source","Destination","Protocol","Length","Info"
"2618","341.342918900","162.247.241.14","192.168.0.106","TCP","66","443  >  55434 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 SACK_PERM WS=8192"
"2627","341.355034400","192.168.0.106","182.161.73.131","TCP","66","55435  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2633","341.357868700","192.168.0.106","182.161.72.12","TCP","66","55436  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2641","341.361587300","192.168.0.106","182.161.72.239","TCP","66","55437  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2654","341.365518700","182.161.73.131","192.168.0.106","TCP","70","443  >  55432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1440 SACK_PERM WS=1024"
"2659","341.366680700","182.161.73.175","192.168.0.106","TCP","70","443  >  55433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1440 SACK_PERM WS=1024"
"2682","341.397027800","182.161.73.131","192.168.0.106","TCP","70","443  >  55435 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1440 SACK_PERM WS=1024"
"2684","341.398143700","182.161.72.12","192.168.0.106","TCP","70","443  >  55436 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1440 SACK_PERM WS=1024"
"2694","341.401570900","182.161.72.239","192.168.0.106","TCP","70","443  >  55437 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1440 SACK_PERM WS=1024"
"2818","341.519629600","192.168.0.106","150.171.28.10","TCP","66","55438  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2847","341.529973400","150.171.28.10","192.168.0.106","TCP","66","443  >  55438 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"2934","341.636190000","192.168.0.106","35.213.7.90","TCP","66","55439  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2958","341.655224000","192.168.0.106","103.43.90.53","TCP","66","55440  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2961","341.655708300","192.168.0.106","67.199.150.85","TCP","66","55441  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2962","341.657333300","192.168.0.106","124.146.153.154","TCP","66","55442  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2968","341.658195200","192.168.0.106","182.161.73.131","TCP","66","55443  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2970","341.659899900","192.168.0.106","172.179.183.128","TCP","66","55444  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2974","341.660315500","192.168.0.106","207.65.33.82","TCP","66","55445  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2975","341.660695700","192.168.0.106","69.173.158.64","TCP","66","55446  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2976","341.662210200","192.168.0.106","23.106.50.39","TCP","66","55447  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2977","341.663772800","192.168.0.106","141.226.124.48","TCP","66","55448  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2980","341.665379600","192.168.0.106","151.101.158.132","TCP","66","55449  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2981","341.666608200","192.168.0.106","13.250.150.27","TCP","66","55450  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2984","341.667449300","192.168.0.106","52.220.82.56","TCP","66","55451  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"3000","341.673406000","151.101.158.132","192.168.0.106","TCP","70","443  >  55449 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 SACK_PERM WS=512"
"3061","341.696081500","67.199.150.85","192.168.0.106","TCP","70","443  >  55441 [SYN, ACK] Seq=0 Ack=1 Win=14400 Len=0 MSS=1440 WS=4 SACK_PERM"
"3063","341.698546500","182.161.73.131","192.168.0.106","TCP","70","443  >  55443 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1440 SACK_PERM WS=1024"
"3070","341.699869400","192.168.0.106","182.161.73.175","TCP","66","55452  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"3073","341.700550100","207.65.33.82","192.168.0.106","TCP","70","443  >  55445 [SYN, ACK] Seq=0 Ack=1 Win=14400 Len=0 MSS=1440 WS=4 SACK_PERM"
"3086","341.704268600","69.173.158.64","192.168.0.106","TCP","70","443  >  55446 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1440 WS=4 SACK_PERM"
